"__typename","brandType","contentDirectFeedbackPromptId","customData/doWeEndorseIt","customData/hotel","hotelId","id","impressionAnalytics","impressionAnalytics/__typename","impressionAnalytics/event","impressionAnalytics/referrerId","locale","managementResponses/0/__typename","managementResponses/0/header/__typename","managementResponses/0/header/text","managementResponses/0/id","managementResponses/0/response","photoSection","photoSection/__typename","photoSection/exitAnalytics/__typename","photoSection/exitAnalytics/linkName","photoSection/exitAnalytics/referrerId","photoSection/imageClickAnalytics/__typename","photoSection/imageClickAnalytics/linkName","photoSection/imageClickAnalytics/referrerId","photoSection/navClickAnalytics/__typename","photoSection/navClickAnalytics/linkName","photoSection/navClickAnalytics/referrerId","photos/0/__typename","photos/0/description","photos/0/url","photos/1/__typename","photos/1/description","photos/1/url","photos/2/__typename","photos/2/description","photos/2/url","photos/3/__typename","photos/3/description","photos/3/url","photos/4/__typename","photos/4/description","photos/4/url","photos/5/__typename","photos/5/description","photos/5/url","photos/6/__typename","photos/6/description","photos/6/url","photos/7/__typename","photos/7/description","photos/7/url","propertyReviewSource","reviewAuthorAttribution/__typename","reviewAuthorAttribution/text","reviewFooter/__typename","reviewFooter/messages/0/__typename","reviewFooter/messages/0/seoStructuredData/__typename","reviewFooter/messages/0/seoStructuredData/content","reviewFooter/messages/0/seoStructuredData/itemprop","reviewFooter/messages/0/seoStructuredData/itemscope","reviewFooter/messages/0/seoStructuredData/itemtype","reviewFooter/messages/0/text/__typename","reviewFooter/messages/0/text/text","reviewInteractionSections/0/__typename","reviewInteractionSections/0/accessibilityLabel","reviewInteractionSections/0/feedbackAnalytics/__typename","reviewInteractionSections/0/feedbackAnalytics/linkName","reviewInteractionSections/0/feedbackAnalytics/referrerId","reviewInteractionSections/0/primaryDisplayString","reviewInteractionSections/0/reviewInteractionType","reviewInteractionSections/1/__typename","reviewInteractionSections/1/accessibilityLabel","reviewInteractionSections/1/feedbackAnalytics","reviewInteractionSections/1/primaryDisplayString","reviewInteractionSections/1/reviewInteractionType","reviewInteractionSections/2/__typename","reviewInteractionSections/2/accessibilityLabel","reviewInteractionSections/2/feedbackAnalytics","reviewInteractionSections/2/primaryDisplayString","reviewInteractionSections/2/reviewInteractionType","reviewInteractionSections/3/__typename","reviewInteractionSections/3/accessibilityLabel","reviewInteractionSections/3/feedbackAnalytics","reviewInteractionSections/3/primaryDisplayString","reviewInteractionSections/3/reviewInteractionType","reviewPosition","reviewRegion","reviewScoreWithDescription/__typename","reviewScoreWithDescription/label","reviewScoreWithDescription/value","seeMoreAnalytics/__typename","seeMoreAnalytics/linkName","seeMoreAnalytics/referrerId","submissionTime/__typename","submissionTime/longDateFormat","superlative","text","themes","themes/0/__typename","themes/0/icon/__typename","themes/0/icon/id","themes/0/label","themes/1/__typename","themes/1/icon/__typename","themes/1/icon/id","themes/1/label","title","translationInfo","translationInfo/__typename","translationInfo/loadingTranslationText","translationInfo/seeOriginalText","translationInfo/targetLocale","translationInfo/translatedBy/__typename","translationInfo/translatedBy/description","translationInfo/translationCallToActionLabel","travelers/0","travelers/1","travelers/2","travelers/3"
"PropertyReview","Expedia",,"no opinion","Prague Hotel Krystal","428588","66b63b958397934320ad7f75",,,,,"en_US","ManagementResponse","LodgingHeader","Response from Moon Palace Cancun on Aug 10, 2024","0993e14c-c6f6-4d8a-b7a2-b246b8c0e695","Dear Montserrat,Thank you for sharing your feedback. We’re glad to hear that you enjoyed the pool area but are concerned about the issues you mentioned. Cleanliness is a top priority for us, and we will address the concerns regarding the pools and ensure that our cleaning protocols are followed rigorously. We're also continuously working to improve our dining options, including our Italian offerings, and appreciate your input.Regarding the beach, we understand the frustration with the seaweed and are actively working on maintaining the beach to provide a better experience for our guests.Your comments help us improve, and we hope to have the opportunity to welcome you back in the future for a better experience.Best regards,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LodgingHeader","Montserrat, Conroe","PropertyReviewFooterSection","PropertyReviewFooterMessage","SEOStructuredData","Montserrat","author","true","https://schema.org/Person","EGDSPlainText","Stayed 5 nights in Jul 2024","PropertyReviewInteraction","Mark review 1 as helpful. 0 other users found review 1 helpful.","ClientSideAnalytics","Helpful review","HOT.HIS.ReviewsOverlay.THUMB_UP.UPVOTE","0","HELPFUL_REVIEW","PropertyReviewInteraction",,,,"REVIEW_REPORT_FLAG","PropertyReviewInteraction","See more from Montserrat's review",,"See more","REVIEW_EXPAND_LABEL","PropertyReviewInteraction","See less from Montserrat's review",,"See less","REVIEW_COLLAPSE_LABEL","21",,"LodgingEnrichedMessage","6 out of 10 Okay","6/10 Okay","ClientSideAnalytics","See more reviews","HOT.HIS.See_more.","DateTime","Aug 9, 2024","Okay","The property was too large for my liking. The food was okay some days and not great at all some days. Definitely the food needs a upgrade especially the Italian food. The pool area was beautiful, but the pools had mold. Pools need to be cleaned better. and the Beach lets talk about the beach. Its horrible it has tons of sea weed. If you are going to this hotel for the beach forget it. reroute yourself else were. I would give this hotel a 3 out of 5. Maybe next time I would prefer the Grand. Its newer.",,,,,,,,,,"",,,,,,,,,"Traveled with family and small children","Traveled with family",,
"PropertyReview","Expedia",,"no opinion","Prague Hotel Krystal","428588","66b503566a7cfe1353bdb91e",,,,,"en_US","ManagementResponse","LodgingHeader","Response from Moon Palace Cancun on Aug 10, 2024","8adcb65f-77dd-42fe-8bd2-a8aa48634b6a","Dear Sadegh,Thank you for your 5-star review! We’re thrilled to hear that you enjoyed the variety of food, our friendly staff, and the swimming pool. However, we regret that the beach was not up to your expectations. We're continuously working to improve the beach area and hope that you’ll give it another try on your next visit.We look forward to welcoming you back for another great stay!Best regards,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LodgingHeader","Sadegh","PropertyReviewFooterSection","PropertyReviewFooterMessage","SEOStructuredData","Sadegh","author","true","https://schema.org/Person","EGDSPlainText","Stayed 5 nights in Aug 2024","PropertyReviewInteraction","Mark review 2 as helpful. 0 other users found review 2 helpful.","ClientSideAnalytics","Helpful review","HOT.HIS.ReviewsOverlay.THUMB_UP.UPVOTE","0","HELPFUL_REVIEW","PropertyReviewInteraction",,,,"REVIEW_REPORT_FLAG","PropertyReviewInteraction","See more from Sadegh's review",,"See more","REVIEW_EXPAND_LABEL","PropertyReviewInteraction","See less from Sadegh's review",,"See less","REVIEW_COLLAPSE_LABEL","22",,"LodgingEnrichedMessage","10 out of 10 Excellent","10/10 Excellent","ClientSideAnalytics","See more reviews","HOT.HIS.See_more.","DateTime","Aug 8, 2024","Excellent","The stuff are very friendly,Food is excellent it has variety of food and restaurants.swimming pool is good it doesn’t have a good beach in fact we couldn’t use beach due to dirty so we spent more time on swim pool ",,"ReviewThemes","Icon","sentiment_4","Liked: Cleanliness, staff & service, amenities, property conditions & facilities",,,,,"",,,,,,,,,"Traveled with family",,,
"PropertyReview","Expedia",,"no opinion","Prague Hotel Krystal","428588","66b4d8d6e6073643fd1b9cdc",,,,,"en_US","ManagementResponse","LodgingHeader","Response from Moon Palace Cancun on Aug 8, 2024","f23c6f51-9860-4590-84ff-61eaf24ef183","Dear Kartik Patel Snehal,Thank you for taking the time to share your feedback. We appreciate your comments and are sorry to hear that our size and service did not meet your expectations.We are continuously working to improve our guest experience, including our transportation services and staffing . Your insights are invaluable as we strive to enhance our operations.If you have any specific suggestions or additional concerns, please feel free to reach out to us directly. We hope to have the opportunity to provide you with a more seamless experience in the future.Best regards,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LodgingHeader","Kartik Patel Snehal, DES PLAINES","PropertyReviewFooterSection","PropertyReviewFooterMessage","SEOStructuredData","Kartik Patel Snehal","author","true","https://schema.org/Person","EGDSPlainText","Stayed 7 nights in Jul 2024","PropertyReviewInteraction","Mark review 3 as helpful. 0 other users found review 3 helpful.","ClientSideAnalytics","Helpful review","HOT.HIS.ReviewsOverlay.THUMB_UP.UPVOTE","0","HELPFUL_REVIEW","PropertyReviewInteraction",,,,"REVIEW_REPORT_FLAG","PropertyReviewInteraction","See more from Kartik Patel Snehal's review",,"See more","REVIEW_EXPAND_LABEL","PropertyReviewInteraction","See less from Kartik Patel Snehal's review",,"See less","REVIEW_COLLAPSE_LABEL","23",,"LodgingEnrichedMessage","6 out of 10 Okay","6/10 Okay","ClientSideAnalytics","See more reviews","HOT.HIS.See_more.","DateTime","Aug 8, 2024","Okay","Too big, no organized transportation and short staffed (get ready to wait for everything you do) ",,"ReviewThemes","Icon","sentiment_4","Liked: Cleanliness, staff & service, amenities",,,,,"",,,,,,,,,"Traveled with family and small children",,,
"PropertyReview","Expedia",,"no opinion","Prague Hotel Krystal","428588","66b3c0f33677b72a4489b05f",,,,,"en_US","ManagementResponse","LodgingHeader","Response from Moon Palace Cancun on Aug 8, 2024","99e20779-1102-4dac-a8ba-4ba777bdf0c5","Dear Trung,Thank you for your positive feedback! We're thrilled to hear you had a great experience with us. If there’s anything specific you enjoyed or any suggestions for improvement, please let us know. We look forward to welcoming you back!Best regards,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LodgingHeader","Trung","PropertyReviewFooterSection","PropertyReviewFooterMessage","SEOStructuredData","Trung","author","true","https://schema.org/Person","EGDSPlainText","Stayed 5 nights in Aug 2024","PropertyReviewInteraction","Mark review 4 as helpful. 0 other users found review 4 helpful.","ClientSideAnalytics","Helpful review","HOT.HIS.ReviewsOverlay.THUMB_UP.UPVOTE","0","HELPFUL_REVIEW","PropertyReviewInteraction",,,,"REVIEW_REPORT_FLAG","PropertyReviewInteraction","See more from Trung's review",,"See more","REVIEW_EXPAND_LABEL","PropertyReviewInteraction","See less from Trung's review",,"See less","REVIEW_COLLAPSE_LABEL","24",,"LodgingEnrichedMessage","10 out of 10 Excellent","10/10 Excellent","ClientSideAnalytics","See more reviews","HOT.HIS.See_more.","DateTime","Aug 7, 2024","Excellent","Good",,"ReviewThemes","Icon","sentiment_4","Liked: Cleanliness, staff & service, amenities, property conditions & facilities",,,,,"",,,,,,,,,"Traveled with family and small children",,,
"PropertyReview","Expedia",,"no opinion","Prague Hotel Krystal","428588","66b36f292fa7b179c05b6637",,"ClientSideImpressionEventAnalytics","Scroll reviews","HOT.HIS.ReviewsOverlay.Scroll","en_US","ManagementResponse","LodgingHeader","Response from Moon Palace Cancun on Aug 8, 2024","0f2689ad-935f-46cf-bd48-2cc02d26fe69","Dear Katherine,Thank you for your review. We’re glad to hear that you enjoyed your stay overall. We apologize for any inconvenience caused by our team’s attempts to promote our other resorts and day passes.We understand that this can be intrusive and are working to ensure that our promotional efforts are handled more discreetly in the future. Your feedback helps us improve our service, and we appreciate you bringing this to our attention.If you have any further suggestions or concerns, please feel free to let us know. We hope to welcome you back and provide a more enjoyable experience.Best regards,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LodgingHeader","Katherine, Fort Worth","PropertyReviewFooterSection","PropertyReviewFooterMessage","SEOStructuredData","Katherine","author","true","https://schema.org/Person","EGDSPlainText","Stayed 4 nights in Jul 2024","PropertyReviewInteraction","Mark review 5 as helpful. 0 other users found review 5 helpful.","ClientSideAnalytics","Helpful review","HOT.HIS.ReviewsOverlay.THUMB_UP.UPVOTE","0","HELPFUL_REVIEW","PropertyReviewInteraction",,,,"REVIEW_REPORT_FLAG","PropertyReviewInteraction","See more from Katherine's review",,"See more","REVIEW_EXPAND_LABEL","PropertyReviewInteraction","See less from Katherine's review",,"See less","REVIEW_COLLAPSE_LABEL","25",,"LodgingEnrichedMessage","8 out of 10 Good","8/10 Good","ClientSideAnalytics","See more reviews","HOT.HIS.See_more.","DateTime","Aug 7, 2024","Good","That they were really pushy when it comes to selling their other resorts. For example their day pass. They kept calling the room to see why we didn’t want to go ",,"ReviewThemes","Icon","sentiment_4","Liked: Cleanliness, staff & service, property conditions & facilities",,,,,"",,,,,,,,,,,,
"PropertyReview","Expedia",,"no opinion","Prague Hotel Krystal","428588","66b2ec5a40a20636a00a28ef",,,,,"en_US","ManagementResponse","LodgingHeader","Response from Moon Palace Cancun on Aug 8, 2024","c1b5492b-1a75-4aec-a279-4fbccb126ea0","Dear Seunghyun,Thank you so much for your wonderful review! We’re thrilled to hear you had a great experience and felt it was worth it. We look forward to welcoming you back for another memorable stay!Best regards,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LodgingHeader","Seunghyun, Forney","PropertyReviewFooterSection","PropertyReviewFooterMessage","SEOStructuredData","Seunghyun","author","true","https://schema.org/Person","EGDSPlainText","Stayed 4 nights in Jul 2024","PropertyReviewInteraction","Mark review 6 as helpful. 0 other users found review 6 helpful.","ClientSideAnalytics","Helpful review","HOT.HIS.ReviewsOverlay.THUMB_UP.UPVOTE","0","HELPFUL_REVIEW","PropertyReviewInteraction",,,,"REVIEW_REPORT_FLAG","PropertyReviewInteraction","See more from Seunghyun's review",,"See more","REVIEW_EXPAND_LABEL","PropertyReviewInteraction","See less from Seunghyun's review",,"See less","REVIEW_COLLAPSE_LABEL","26",,"LodgingEnrichedMessage","10 out of 10 Excellent","10/10 Excellent","ClientSideAnalytics","See more reviews","HOT.HIS.See_more.","DateTime","Aug 7, 2024","Excellent","It was good experience, definitely worth it!",,"ReviewThemes","Icon","sentiment_4","Liked: Cleanliness, staff & service, property conditions & facilities",,,,,"",,,,,,,,,,,,
"PropertyReview","Expedia",,"no opinion","Prague Hotel Krystal","428588","66b2d8d1e7f48869a658bbdc",,,,,"en_US","ManagementResponse","LodgingHeader","Response from Moon Palace Jamaica on Aug 8, 2024","553a58ae-8ecc-4b24-8dc9-fb1fe604dc9f","Dear Orlando,Thank you for your feedback. We’re glad to hear you enjoyed the property and our food selection. However, we’re sorry to learn about your disappointment with the beach conditions. We strive to maintain our beach to the highest standards .We appreciate you bringing this to our attention and hope to have the opportunity to better serve you in the future.Kindest Regards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LodgingHeader","Orlando, Raleigh","PropertyReviewFooterSection","PropertyReviewFooterMessage","SEOStructuredData","Orlando","author","true","https://schema.org/Person","EGDSPlainText","Stayed 6 nights in Jul 2024","PropertyReviewInteraction","Mark review 7 as helpful. 1 other user found review 7 helpful.","ClientSideAnalytics","Helpful review","HOT.HIS.ReviewsOverlay.THUMB_UP.UPVOTE","1","HELPFUL_REVIEW","PropertyReviewInteraction",,,,"REVIEW_REPORT_FLAG","PropertyReviewInteraction","See more from Orlando's review",,"See more","REVIEW_EXPAND_LABEL","PropertyReviewInteraction","See less from Orlando's review",,"See less","REVIEW_COLLAPSE_LABEL","27",,"LodgingEnrichedMessage","6 out of 10 Okay","6/10 Okay","ClientSideAnalytics","See more reviews","HOT.HIS.See_more.","DateTime","Aug 7, 2024","Okay","The property was nice, clean and a good food selection. However, the beach is not swimmable, the water looks dirty and the beach is not clean - very disappointing. I went there because it stated they had a nice while sand beach, but it was not true",,"ReviewThemes","Icon","sentiment_4","Liked: Cleanliness, staff & service, property conditions & facilities",,,,,"",,,,,,,,,"Traveled with family",,,
"PropertyReview","Expedia",,"no opinion","Prague Hotel Krystal","428588","66b22754b3816948d1636693",,,,,"en_US","ManagementResponse","LodgingHeader","Response from Moon Palace Cancun on Aug 6, 2024","424adfb1-1582-49d0-b2a3-ef45ee404c79","Dear Patricia,Thank you for your 4-star review! We’re glad to hear that you had a positive experience with us.If there are any specific aspects of your stay that you feel could be improved or that you particularly enjoyed, we would love to hear more about them. Your feedback helps us enhance our services and ensure a better experience for all our guests.We look forward to welcoming you back to Moon Palace Cancun!Best regards,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LodgingHeader","Patricia","PropertyReviewFooterSection","PropertyReviewFooterMessage","SEOStructuredData","Patricia","author","true","https://schema.org/Person","EGDSPlainText","Stayed 1 night in Aug 2024","PropertyReviewInteraction","Mark review 8 as helpful. 0 other users found review 8 helpful.","ClientSideAnalytics","Helpful review","HOT.HIS.ReviewsOverlay.THUMB_UP.UPVOTE","0","HELPFUL_REVIEW","PropertyReviewInteraction",,,,"REVIEW_REPORT_FLAG","PropertyReviewInteraction","See more from Patricia's review",,"See more","REVIEW_EXPAND_LABEL","PropertyReviewInteraction","See less from Patricia's review",,"See less","REVIEW_COLLAPSE_LABEL","28",,"LodgingEnrichedMessage","8 out of 10 Good","8/10 Good","ClientSideAnalytics","See more reviews","HOT.HIS.See_more.","DateTime","Aug 6, 2024","Good","..",,"ReviewThemes","Icon","sentiment_4","Liked: Cleanliness, staff & service, amenities, property conditions & facilities",,,,,"",,,,,,,,,"Traveled with family",,,
"PropertyReview","Expedia",,"no opinion","Prague Hotel Krystal","428588","66b172ed968aa33ce48d45f8",,,,,"en_US","ManagementResponse","LodgingHeader","Response from Moon Palace Cancun on Aug 6, 2024","ec29c012-b9c2-4c79-b6ab-51bb19a68551","Dear Alejandro,Thank you for your feedback . We appreciate you taking the time to share your experience.We’re glad to hear that you found the food quality to be fairly good. However, we regret that the drinks and the long walks and stairs impacted your stay. We are constantly working to improve our services and facilities, and your comments are valuable in helping us address these areas.Thank you again for your feedback, and we hope to have the opportunity to provide a better experience on your next visit.Best regards,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LodgingHeader","Alejandro","PropertyReviewFooterSection","PropertyReviewFooterMessage","SEOStructuredData","Alejandro","author","true","https://schema.org/Person","EGDSPlainText","Stayed 6 nights in Jun 2024","PropertyReviewInteraction","Mark review 9 as helpful. 0 other users found review 9 helpful.","ClientSideAnalytics","Helpful review","HOT.HIS.ReviewsOverlay.THUMB_UP.UPVOTE","0","HELPFUL_REVIEW","PropertyReviewInteraction",,,,"REVIEW_REPORT_FLAG","PropertyReviewInteraction","See more from Alejandro's review",,"See more","REVIEW_EXPAND_LABEL","PropertyReviewInteraction","See less from Alejandro's review",,"See less","REVIEW_COLLAPSE_LABEL","29",,"LodgingEnrichedMessage","6 out of 10 Okay","6/10 Okay","ClientSideAnalytics","See more reviews","HOT.HIS.See_more.","DateTime","Aug 6, 2024","Okay","Cheap drinks, food quality was fairly good, expect long walks are taking stairs",,"ReviewThemes","Icon","sentiment_4","Liked: Staff & service",,,,,"",,,,,,,,,"Traveled with family and small children","Traveled with group",,
"PropertyReview","Expedia",,"no opinion","Prague Hotel Krystal","428588","66b03cf600339b1e54bc4399",,"ClientSideImpressionEventAnalytics","Scroll reviews","HOT.HIS.ReviewsOverlay.Scroll","en_US","ManagementResponse","LodgingHeader","Response from Moon Palace Cancun on Aug 5, 2024","8bf35721-c1e1-4505-aada-7f4257fb2643","Dear Mitsuhiro,Thank you for taking the time to share your feedback with us. We sincerely apologize for the long wait times you experienced during your stay. Your comfort and satisfaction are our top priorities, and it is disappointing to hear that we did not meet your expectations.We understand how frustrating long waits can be, and we are actively working on improving our service efficiency to ensure that all our guests have a smooth and enjoyable experience. Your comments have been shared with our team to address the issues you faced and to implement necessary improvements.We hope you will consider giving us another chance in the future. If you do decide to return, please contact us directly, and we will make every effort to provide you with a seamless and pleasant stay.Thank you once again for your feedback.Best regards,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LodgingHeader","Mitsuhiro","PropertyReviewFooterSection","PropertyReviewFooterMessage","SEOStructuredData","Mitsuhiro","author","true","https://schema.org/Person","EGDSPlainText","Stayed 3 nights in Jul 2024","PropertyReviewInteraction","Mark review 10 as helpful. 1 other user found review 10 helpful.","ClientSideAnalytics","Helpful review","HOT.HIS.ReviewsOverlay.THUMB_UP.UPVOTE","1","HELPFUL_REVIEW","PropertyReviewInteraction",,,,"REVIEW_REPORT_FLAG","PropertyReviewInteraction","See more from Mitsuhiro's review",,"See more","REVIEW_EXPAND_LABEL","PropertyReviewInteraction","See less from Mitsuhiro's review",,"See less","REVIEW_COLLAPSE_LABEL","30",,"LodgingEnrichedMessage","2 out of 10 Terrible","2/10 Terrible","ClientSideAnalytics","See more reviews","HOT.HIS.See_more.","DateTime","Aug 5, 2024","Terrible","Too much wait for everything ",,"ReviewThemes","Icon","sentiment_2","Disliked: Cleanliness, staff & service, amenities, property conditions & facilities",,,,,"",,,,,,,,,,,,
